train/n_updates,time/total_timesteps,train/actor_loss,train/ent_coef_loss,time/fps,train/critic_loss,rollout/ep_len_mean,train/ent_coef,rollout/ep_rew_mean,train/learning_rate,time/episodes,time/time_elapsed
699,800,24.65827178955078,-0.32824286818504333,65,0.2640644311904907,200.0,0.812983512878418,-1430.60958225,0.0003,4,12
1499,1600,48.48781967163086,-0.5958199501037598,59,0.2579624652862549,200.0,0.6456401348114014,-1476.481955875,0.0003,8,27
2299,2400,69.29680633544922,-0.6675287485122681,57,0.32893145084381104,200.0,0.5279157757759094,-1364.2742116666666,0.0003,12,41
3099,3200,84.12135314941406,-0.6271790266036987,56,0.5437279939651489,200.0,0.44457533955574036,-1243.164863,0.0003,16,56
3899,4000,91.85649871826172,-0.5744096040725708,55,0.5548917055130005,200.0,0.37999650835990906,-1105.6605482,0.0003,20,71
4699,4800,87.06179809570312,-0.46174365282058716,55,1.57011079788208,200.0,0.3367534279823303,-968.8191145833334,0.0003,24,86
5499,5600,82.97688293457031,0.16165591776371002,55,3.1822004318237305,200.0,0.29861778020858765,-856.5178952142858,0.0003,28,101
6299,6400,80.84066009521484,-0.41432952880859375,54,1.3559070825576782,200.0,0.26299676299095154,-772.1203026875002,0.0003,32,116
7099,7200,82.65365600585938,-0.6604413390159607,54,2.2878732681274414,200.0,0.23549486696720123,-699.9606998611112,0.0003,36,131
7899,8000,94.41173553466797,0.13975641131401062,54,2.21748685836792,200.0,0.2145644575357437,-645.21115065,0.0003,40,147
8699,8800,84.1990737915039,0.02668309211730957,54,1.9149909019470215,200.0,0.19311881065368652,-589.5723982499999,0.0003,44,161
9499,9600,61.24205017089844,-0.8111511468887329,54,1.06391179561615,200.0,0.16921351850032806,-550.9384146250001,0.0003,48,176
10299,10400,55.65515899658203,-0.5528758764266968,54,2.7532765865325928,200.0,0.15192586183547974,-524.0693573653846,0.0003,52,191
11099,11200,71.8895492553711,0.5691959857940674,54,1.9472434520721436,200.0,0.14041849970817566,-497.3724147857143,0.0003,56,205
11899,12000,65.82972717285156,-0.5350508689880371,54,2.38405442237854,200.0,0.13033649325370789,-474.7084447,0.0003,60,220
12699,12800,67.25761413574219,-0.7124248743057251,54,1.915337324142456,200.0,0.12358668446540833,-454.22236587500004,0.0003,64,234
13499,13600,73.96141815185547,0.15115396678447723,54,1.2823224067687988,200.0,0.11691376566886902,-435.3410020882353,0.0003,68,249
14299,14400,57.33933639526367,-1.062775731086731,54,0.9603644609451294,200.0,0.10792049020528793,-417.8710212361112,0.0003,72,264
15099,15200,63.14289855957031,0.43753036856651306,54,1.8997373580932617,200.0,0.10097053647041321,-406.59190773684213,0.0003,76,278
15899,16000,62.12501907348633,0.43280673027038574,54,2.0850865840911865,200.0,0.09190765023231506,-395.26735263750004,0.0003,80,293
16699,16800,57.606624603271484,0.17128489911556244,54,0.9604856967926025,200.0,0.08598324656486511,-380.8566512619048,0.0003,84,308
17499,17600,41.92546463012695,-1.8395265340805054,54,1.0449650287628174,200.0,0.07923998683691025,-367.8056956704546,0.0003,88,322
18299,18400,48.178367614746094,1.278611183166504,54,2.9905757904052734,200.0,0.07592704147100449,-357.13305641304356,0.0003,92,337
19099,19200,39.214717864990234,0.29236099123954773,54,1.2186447381973267,200.0,0.0706455260515213,-348.2824656770834,0.0003,96,352
19899,20000,35.770179748535156,-1.0493474006652832,54,0.9364551305770874,200.0,0.06381450593471527,-340.24450706000005,0.0003,100,367
20699,20800,37.935325622558594,0.613071620464325,54,1.4414451122283936,200.0,0.05988139659166336,-291.32286007000005,0.0003,104,382
21499,21600,39.554256439208984,0.13340634107589722,54,1.1529349088668823,200.0,0.05778863653540611,-239.67105731,0.0003,108,396
22299,22400,40.65977096557617,-1.1689062118530273,54,2.023956298828125,200.0,0.053596772253513336,-201.15626729000005,0.0003,112,411
23099,23200,30.8260498046875,-0.806543231010437,54,0.7081652283668518,200.0,0.050294701009988785,-169.65743910999998,0.0003,116,425
23899,24000,49.75301742553711,1.4721823930740356,54,2.082858085632324,200.0,0.04646776616573334,-155.29038844999997,0.0003,120,440
24699,24800,32.45078659057617,-0.10406956076622009,54,1.7386600971221924,200.0,0.043571725487709045,-148.55822073,0.0003,124,455
25499,25600,37.10752487182617,0.13124501705169678,54,1.9111459255218506,200.0,0.041081275790929794,-148.59577972,0.0003,128,469
26299,26400,41.15757369995117,1.5897140502929688,54,1.8403418064117432,200.0,0.03837590664625168,-144.99431255,0.0003,132,484
27099,27200,42.828857421875,0.18121764063835144,54,0.9875075817108154,200.0,0.03619011491537094,-147.28413973999997,0.0003,136,500
27899,28000,26.488588333129883,-0.2841574251651764,54,0.7247493267059326,200.0,0.03393086418509483,-148.33094949,0.0003,140,514
28699,28800,47.72773361206055,1.2479904890060425,54,1.6161725521087646,200.0,0.030970674008131027,-151.80508743000001,0.0003,144,528
29499,29600,25.168649673461914,1.6890008449554443,54,0.8162829875946045,200.0,0.028831064701080322,-153.99863423,0.0003,148,542
