rollout/ep_len_mean,train/n_updates,rollout/ep_rew_mean,time/total_timesteps,time/fps,train/ent_coef_loss,train/actor_loss,time/time_elapsed,train/critic_loss,train/ent_coef,train/learning_rate,time/episodes
50.0,99,-42.0347845,200,84,-0.09754012525081635,-1.7123911380767822,2,0.30619901418685913,0.9707891941070557,0.0003,4
50.0,299,-43.029536875,400,59,-0.29956215620040894,-2.2989001274108887,6,0.2534061372280121,0.9141037464141846,0.0003,8
50.0,499,-43.65116666666666,600,54,-0.5132179260253906,-2.531249761581421,10,0.31804174184799194,0.8607357740402222,0.0003,12
50.0,699,-43.125716999999995,800,51,-0.7008653879165649,-2.5964229106903076,15,0.1692500114440918,0.8105258345603943,0.0003,16
50.0,899,-43.1698448,1000,50,-0.8839484453201294,-2.3418617248535156,19,0.08401468396186829,0.7634342312812805,0.0003,20
50.0,1099,-42.23423904166666,1200,49,-1.0847227573394775,-2.5687131881713867,24,0.060024261474609375,0.7193702459335327,0.0003,24
50.0,1299,-41.26414749999999,1400,48,-1.230699062347412,-2.7488975524902344,28,0.04718595743179321,0.6781912446022034,0.0003,28
50.0,1499,-40.3670000625,1600,47,-1.3849693536758423,-2.567331075668335,33,0.08370381593704224,0.6395581364631653,0.0003,32
50.0,1699,-39.736356944444445,1800,47,-1.626697063446045,-2.572117805480957,38,0.09097360074520111,0.6032086610794067,0.0003,36
50.0,1899,-38.956252649999996,2000,47,-1.7222731113433838,-2.374478340148926,42,0.03398153930902481,0.5689426064491272,0.0003,40
50.0,2099,-38.35781884090909,2200,46,-1.8884265422821045,-2.369489908218384,46,0.040267087519168854,0.5367138981819153,0.0003,44
50.0,2299,-37.723273687500004,2400,46,-2.224743127822876,-2.1894264221191406,51,0.10308973491191864,0.5064204335212708,0.0003,48
50.0,2499,-37.23612146153847,2600,46,-2.2348380088806152,-2.214816093444824,55,0.036264702677726746,0.47798436880111694,0.0003,52
50.0,2699,-36.57144641071428,2800,46,-2.510209083557129,-1.9099085330963135,59,0.03944109380245209,0.4511692225933075,0.0003,56
50.0,2899,-36.05068228333334,3000,46,-2.480679512023926,-1.5975509881973267,64,0.032253772020339966,0.4260612428188324,0.0003,60
50.0,3099,-35.542548171875,3200,46,-2.6203951835632324,-1.4690784215927124,68,0.030421890318393707,0.40243738889694214,0.0003,64
50.0,3299,-34.96264052941177,3400,46,-2.8326950073242188,-1.0943241119384766,73,0.022630658000707626,0.38016265630722046,0.0003,68
50.0,3499,-34.404129125000004,3600,46,-2.9165287017822266,-1.108235239982605,77,0.023788072168827057,0.35924237966537476,0.0003,72
50.0,3699,-33.859707750000005,3800,45,-3.008382797241211,-0.9224387407302856,83,0.02503061853349209,0.3395249545574188,0.0003,76
50.0,3899,-33.430141537500006,4000,45,-3.1353085041046143,-0.4755302667617798,88,0.01787266507744789,0.32099562883377075,0.0003,80
50.0,4099,-32.93789257142858,4200,44,-3.208829879760742,-0.47902771830558777,93,0.01626875065267086,0.30351924896240234,0.0003,84
50.0,4299,-32.37962623863636,4400,44,-3.646205425262451,-0.16982212662696838,98,0.025150012224912643,0.287057101726532,0.0003,88
50.0,4499,-31.893492119565217,4600,44,-3.3724184036254883,0.12339230626821518,103,0.016969285905361176,0.271499902009964,0.0003,92
50.0,4699,-31.431584114583334,4800,44,-3.221493721008301,0.46251732110977173,108,0.014896567910909653,0.25688695907592773,0.0003,96
50.0,4899,-31.04364864,5000,44,-3.5584115982055664,0.6992909908294678,113,0.018991006538271904,0.2431371659040451,0.0003,100
50.0,5099,-30.118621469999997,5200,43,-3.425327777862549,0.9659150242805481,118,0.01410805806517601,0.2301161289215088,0.0003,104
50.0,5299,-29.156611830000006,5400,43,-3.785853862762451,1.2891720533370972,123,0.01598145067691803,0.21780776977539062,0.0003,108
50.0,5499,-28.164794170000008,5600,43,-3.8741462230682373,1.4700196981430054,127,0.021901361644268036,0.20618297159671783,0.0003,112
50.0,5699,-27.21505986,5800,43,-3.93642520904541,1.8369426727294922,132,0.020295213907957077,0.19520074129104614,0.0003,116
50.0,5899,-26.323025650000005,6000,43,-3.6239070892333984,1.943088173866272,137,0.011436617001891136,0.1848214566707611,0.0003,120
50.0,6099,-25.48232452,6200,43,-3.86735463142395,2.147529125213623,141,0.014575913548469543,0.17502622306346893,0.0003,124
50.0,6299,-24.679923199999998,6400,43,-4.46661376953125,2.361132860183716,145,0.016737909987568855,0.16577020287513733,0.0003,128
50.0,6499,-23.97788664,6600,43,-4.167494297027588,2.798159122467041,150,0.01207594946026802,0.15702125430107117,0.0003,132
50.0,6699,-23.17615843,6800,43,-3.5467984676361084,2.917941093444824,154,0.01652500592172146,0.14874784648418427,0.0003,136
50.0,6899,-22.51706252,7000,44,-4.147558212280273,3.1392176151275635,158,0.017953798174858093,0.14097508788108826,0.0003,140
50.0,7099,-21.841650459999997,7200,44,-3.871474504470825,3.4620766639709473,163,0.013193080201745033,0.13364829123020172,0.0003,144
50.0,7299,-21.283611410000002,7400,44,-3.587475538253784,3.7619738578796387,167,0.029943719506263733,0.12671497464179993,0.0003,148
50.0,7499,-20.5534465,7600,44,-4.0738959312438965,3.8346707820892334,171,0.016272876411676407,0.12016837298870087,0.0003,152
50.0,7699,-19.94263918,7800,44,-3.958921194076538,4.028370380401611,175,0.014612682163715363,0.11402091383934021,0.0003,156
50.0,7899,-19.346309469999998,8000,44,-4.8906683921813965,4.374078273773193,180,0.012133855372667313,0.1081819161772728,0.0003,160
50.0,8099,-18.79625445,8200,44,-4.581144332885742,4.652462959289551,185,0.018035978078842163,0.10269543528556824,0.0003,164
50.0,8299,-18.277868899999998,8400,44,-3.8122782707214355,4.795721054077148,189,0.021549688652157784,0.09750603139400482,0.0003,168
50.0,8499,-17.73601962,8600,44,-3.6814064979553223,4.883868217468262,194,0.015181804075837135,0.09263467788696289,0.0003,172
50.0,8699,-17.292403379999996,8800,44,-3.7048983573913574,5.162716388702393,199,0.014613498002290726,0.08801160007715225,0.0003,176
50.0,8899,-16.80524622,9000,44,-3.504490613937378,5.344418048858643,203,0.011642452329397202,0.08362740278244019,0.0003,180
50.0,9099,-16.3433049,9200,44,-3.9118432998657227,5.407564163208008,208,0.01392621360719204,0.07949318736791611,0.0003,184
50.0,9299,-15.98952648,9400,44,-3.285801649093628,5.870222091674805,212,0.01930711418390274,0.07559533417224884,0.0003,188
50.0,9499,-15.654084439999998,9600,44,-3.2086448669433594,5.848963737487793,217,0.018761221319437027,0.0718776062130928,0.0003,192
50.0,9699,-15.225964789999999,9800,44,-3.0205109119415283,6.258890628814697,221,0.030967019498348236,0.06838254630565643,0.0003,196
50.0,9899,-14.898818399999996,10000,44,-3.029315948486328,6.201717376708984,226,0.017018020153045654,0.06512037664651871,0.0003,200
50.0,10099,-14.743975369999998,10200,44,-3.200265407562256,6.3770833015441895,230,0.0184541717171669,0.06204676255583763,0.0003,204
50.0,10299,-14.32131396,10400,44,-3.9791669845581055,6.780749320983887,235,0.017032912001013756,0.059129007160663605,0.0003,208
50.0,10499,-14.006088220000002,10600,44,-2.8013811111450195,6.899517059326172,239,0.014426060020923615,0.056358452886343,0.0003,212
50.0,10699,-13.75903867,10800,44,-3.0748255252838135,7.291826248168945,244,0.022897852584719658,0.05374564230442047,0.0003,216
50.0,10899,-13.30070002,11000,44,-2.770519256591797,7.358939170837402,248,0.016872594133019447,0.051265258342027664,0.0003,220
50.0,11099,-13.06037235,11200,44,-2.6938695907592773,7.593384742736816,253,0.025712840259075165,0.048933759331703186,0.0003,224
50.0,11299,-12.744113860000002,11400,44,-2.772395372390747,7.564969539642334,257,0.019342919811606407,0.04673207923769951,0.0003,228
50.0,11499,-12.48710825,11600,44,-2.9190187454223633,7.795180797576904,262,0.01640484109520912,0.0446501150727272,0.0003,232
50.0,11699,-12.268706769999996,11800,44,-2.4563913345336914,7.7036566734313965,267,0.02882852591574192,0.042703043669462204,0.0003,236
50.0,11899,-12.024504849999998,12000,44,-2.6318774223327637,7.758561134338379,271,0.018758654594421387,0.04086915776133537,0.0003,240
50.0,12099,-11.74116979,12200,44,-2.788804531097412,8.01098918914795,276,0.027187176048755646,0.039134420454502106,0.0003,244
50.0,12299,-11.389561519999999,12400,44,-2.110856056213379,8.14559555053711,280,0.012134596705436707,0.03753495588898659,0.0003,248
50.0,12499,-11.140835909999998,12600,44,-1.773374080657959,8.257516860961914,285,0.013133833184838295,0.036005012691020966,0.0003,252
50.0,12699,-10.94274163,12800,44,-2.1425557136535645,8.441768646240234,289,0.013739634305238724,0.034542929381132126,0.0003,256
50.0,12899,-10.722607549999998,13000,44,-1.3958070278167725,8.413734436035156,294,0.016005104407668114,0.03319014236330986,0.0003,260
50.0,13099,-10.527276949999997,13200,44,-2.485291004180908,8.641987800598145,299,0.016699129715561867,0.03189071640372276,0.0003,264
50.0,13299,-10.304834759999999,13400,44,-0.8941629528999329,8.788908004760742,304,0.025967568159103394,0.030706215649843216,0.0003,268
50.0,13499,-10.21207707,13600,44,-1.2027965784072876,8.945168495178223,308,0.03444359824061394,0.02958562783896923,0.0003,272
50.0,13699,-10.110275440000002,13800,44,-0.8108839988708496,9.07528305053711,313,0.01966756582260132,0.028546812012791634,0.0003,276
50.0,13899,-9.82160297,14000,44,-1.1429985761642456,8.80806827545166,317,0.015809647738933563,0.027612371370196342,0.0003,280
50.0,14099,-9.65118992,14200,44,-1.4630001783370972,8.969335556030273,321,0.017101015895605087,0.026702113449573517,0.0003,284
50.0,14299,-9.53812252,14400,44,-1.0264554023742676,9.056680679321289,326,0.02198309265077114,0.02586800418794155,0.0003,288
50.0,14499,-9.376691089999998,14600,44,-1.3721774816513062,9.010931968688965,330,0.022490497678518295,0.025110624730587006,0.0003,292
50.0,14699,-9.259526099999999,14800,44,-1.0587481260299683,9.542959213256836,334,0.021051209419965744,0.024366356432437897,0.0003,296
50.0,14899,-9.015652950000002,15000,44,-1.0467586517333984,9.418804168701172,338,0.017103878781199455,0.02374352142214775,0.0003,300
50.0,15099,-8.743806970000001,15200,44,-0.838404655456543,9.540081977844238,343,0.01803840883076191,0.023173006251454353,0.0003,304
50.0,15299,-8.59577358,15400,44,-0.5700199604034424,9.804940223693848,347,0.01461239717900753,0.022689074277877808,0.0003,308
50.0,15499,-8.450515160000002,15600,44,0.09722933173179626,9.975133895874023,351,0.02549601159989834,0.022227583453059196,0.0003,312
50.0,15699,-8.29106581,15800,44,-0.10693713277578354,9.777496337890625,355,0.02565910294651985,0.02182306908071041,0.0003,316
50.0,15899,-8.12432763,16000,44,-0.2658460736274719,9.99365520477295,359,0.021793099120259285,0.021436478942632675,0.0003,320
50.0,16099,-7.961381670000001,16200,44,0.6637043952941895,10.203847885131836,363,0.028847508132457733,0.02111026644706726,0.0003,324
50.0,16299,-7.90759495,16400,44,-0.16665080189704895,9.988350868225098,367,0.022947391495108604,0.020825793966650963,0.0003,328
50.0,16499,-7.684731240000001,16600,44,0.4968375563621521,9.852970123291016,371,0.017778970301151276,0.02050497755408287,0.0003,332
50.0,16699,-7.555121700000001,16800,44,-0.4896908402442932,10.086904525756836,376,0.01711462065577507,0.020340532064437866,0.0003,336
50.0,16899,-7.559756190000001,17000,44,-0.3661015033721924,10.292525291442871,380,0.020345039665699005,0.02021518163383007,0.0003,340
50.0,17099,-7.457249480000001,17200,44,-0.9101243019104004,10.384307861328125,385,0.018786301836371422,0.020191116258502007,0.0003,344
50.0,17299,-7.441471690000001,17400,44,0.7145261764526367,10.493152618408203,391,0.015216919593513012,0.020060280337929726,0.0003,348
50.0,17499,-7.494066930000002,17600,44,-0.11528688669204712,10.334745407104492,396,0.01974530890583992,0.02000853605568409,0.0003,352
50.0,17699,-7.4817846,17800,44,0.32696640491485596,10.618247985839844,400,0.016796687617897987,0.019933614879846573,0.0003,356
50.0,17899,-7.432626039999999,18000,44,-0.16155490279197693,10.671028137207031,405,0.03234514594078064,0.01993289217352867,0.0003,360
50.0,18099,-7.308635110000001,18200,44,-0.2629438042640686,10.834278106689453,410,0.014508699998259544,0.019969623535871506,0.0003,364
50.0,18299,-7.27464055,18400,44,-0.9384580254554749,10.940285682678223,414,0.015445776283740997,0.020068952813744545,0.0003,368
50.0,18499,-7.194713249999999,18600,44,-0.18607261776924133,10.995813369750977,419,0.016793204471468925,0.020139457657933235,0.0003,372
50.0,18699,-7.095141859999999,18800,44,0.5087006092071533,11.077552795410156,424,0.02259071171283722,0.020244423300027847,0.0003,376
50.0,18899,-7.1457301200000005,19000,44,-0.3523957133293152,11.055901527404785,428,0.022162213921546936,0.020230388268828392,0.0003,380
50.0,19099,-7.092240660000001,19200,44,0.24814870953559875,10.861224174499512,433,0.014099949039518833,0.020123930647969246,0.0003,384
50.0,19299,-7.042435280000001,19400,44,0.37170886993408203,11.222478866577148,437,0.014753332361578941,0.020165354013442993,0.0003,388
50.0,19499,-6.897487230000001,19600,44,0.6176491379737854,11.227959632873535,442,0.023943211883306503,0.020276149734854698,0.0003,392
50.0,19699,-6.848250240000001,19800,44,0.3432482182979584,11.342008590698242,447,0.03079516813158989,0.020377496257424355,0.0003,396
50.0,19899,-6.84659579,20000,44,0.52800053358078,11.232996940612793,451,0.01890508271753788,0.02023930288851261,0.0003,400
50.0,20099,-6.792973280000001,20200,44,-0.7708760499954224,11.372554779052734,456,0.014336401596665382,0.02037672884762287,0.0003,404
50.0,20299,-6.774108,20400,44,-0.4849826395511627,11.577509880065918,460,0.015815822407603264,0.020302005112171173,0.0003,408
50.0,20499,-6.697385860000001,20600,44,0.5653948783874512,11.119365692138672,465,0.010710611939430237,0.020328020676970482,0.0003,412
50.0,20699,-6.698381160000001,20800,44,0.5261382460594177,11.459596633911133,469,0.014831852167844772,0.02040928415954113,0.0003,416
50.0,20899,-6.74408864,21000,44,0.3330535888671875,11.317061424255371,474,0.020893357694149017,0.020494239404797554,0.0003,420
50.0,21099,-6.800912500000002,21200,44,0.44844532012939453,11.53348159790039,478,0.014727510511875153,0.02063579671084881,0.0003,424
50.0,21299,-6.7766312399999995,21400,44,0.7187629342079163,11.465407371520996,483,0.011807160452008247,0.020744800567626953,0.0003,428
50.0,21499,-6.8632776500000015,21600,44,0.37219664454460144,11.389528274536133,488,0.0205866526812315,0.020965276286005974,0.0003,432
50.0,21699,-6.841096540000001,21800,44,0.627311110496521,11.492898941040039,492,0.0190459955483675,0.02096586674451828,0.0003,436
50.0,21899,-6.64728998,22000,44,1.0575288534164429,12.495906829833984,496,0.021532807499170303,0.02085956558585167,0.0003,440
50.0,22099,-6.6815549999999995,22200,44,0.5392277240753174,11.840389251708984,500,0.01148170791566372,0.02094605565071106,0.0003,444
50.0,22299,-6.68989595,22400,44,0.09208543598651886,11.811226844787598,504,0.010897474363446236,0.021102340891957283,0.0003,448
50.0,22499,-6.597492229999999,22600,44,-0.3606838881969452,11.67747688293457,508,0.016355738043785095,0.02122551202774048,0.0003,452
50.0,22699,-6.604215210000001,22800,44,0.2234325110912323,11.870939254760742,513,0.010797185823321342,0.021227864548563957,0.0003,456
50.0,22899,-6.607966489999999,23000,44,0.7609856724739075,11.996082305908203,517,0.01631658710539341,0.02129422314465046,0.0003,460
50.0,23099,-6.60354188,23200,44,0.26672497391700745,11.910845756530762,521,0.017583781853318214,0.021433034911751747,0.0003,464
50.0,23299,-6.623768679999999,23400,44,0.4090684652328491,11.867083549499512,526,0.01461985893547535,0.021376704797148705,0.0003,468
50.0,23499,-6.5463698599999995,23600,44,0.689597487449646,12.257689476013184,530,0.018083732575178146,0.021438416093587875,0.0003,472
50.0,23699,-6.531521389999999,23800,44,-0.48110610246658325,11.919169425964355,535,0.026905205100774765,0.02132944017648697,0.0003,476
50.0,23899,-6.491286050000001,24000,44,-0.45715242624282837,12.1180419921875,539,0.011310765519738197,0.021310679614543915,0.0003,480
50.0,24099,-6.61059698,24200,44,0.08550946414470673,11.95438003540039,544,0.020687878131866455,0.02134685032069683,0.0003,484
50.0,24299,-6.471424350000001,24400,44,0.463922917842865,11.976933479309082,548,0.021015239879488945,0.021479181945323944,0.0003,488
50.0,24499,-6.539265200000001,24600,44,-0.028599567711353302,11.863920211791992,553,0.020777560770511627,0.021440671756863594,0.0003,492
50.0,24699,-6.59190986,24800,44,0.10607415437698364,12.668566703796387,558,0.019297439604997635,0.02148280292749405,0.0003,496
50.0,24899,-6.5213963,25000,44,-0.47758060693740845,12.012629508972168,562,0.01950872875750065,0.021464254707098007,0.0003,500
50.0,25099,-6.439981410000001,25200,44,0.7993678450584412,12.695834159851074,567,0.022213727235794067,0.021480780094861984,0.0003,504
50.0,25299,-6.512556809999999,25400,44,0.2941170930862427,12.531292915344238,572,0.0134675782173872,0.021530916914343834,0.0003,508
50.0,25499,-6.50201812,25600,44,0.6369873881340027,12.266951560974121,576,0.021631741896271706,0.021697772666811943,0.0003,512
50.0,25699,-6.4406066,25800,44,-0.18814028799533844,12.257184982299805,581,0.015863046050071716,0.02152012288570404,0.0003,516
50.0,25899,-6.357986029999999,26000,44,-0.2583198547363281,12.37612247467041,585,0.013462033122777939,0.02136300876736641,0.0003,520
50.0,26099,-6.2792609299999995,26200,44,0.021536901593208313,12.1472749710083,589,0.021755458787083626,0.021447481587529182,0.0003,524
50.0,26299,-6.274544269999999,26400,44,0.10988244414329529,12.084370613098145,594,0.02156716026365757,0.021434441208839417,0.0003,528
50.0,26499,-6.218306819999999,26600,44,-0.4897887110710144,11.803117752075195,598,0.014693604782223701,0.021409200504422188,0.0003,532
50.0,26699,-6.29365339,26800,44,-0.4672542214393616,12.169252395629883,603,0.018203185871243477,0.021469777449965477,0.0003,536
50.0,26899,-6.32960011,27000,44,0.33717381954193115,12.28697395324707,608,0.020460840314626694,0.021481839939951897,0.0003,540
50.0,27099,-6.247182100000001,27200,44,0.3896939754486084,12.377584457397461,612,0.017481159418821335,0.021707681939005852,0.0003,544
50.0,27299,-6.09295309,27400,44,-0.379603773355484,12.371588706970215,617,0.014909532852470875,0.02177095040678978,0.0003,548
50.0,27499,-6.10973677,27600,44,-0.586148738861084,12.856868743896484,621,0.015614575706422329,0.02189781330525875,0.0003,552
50.0,27699,-6.12135886,27800,44,-0.45500969886779785,12.594698905944824,626,0.015572600066661835,0.02181963063776493,0.0003,556
50.0,27899,-6.0465265399999995,28000,44,-0.8756659626960754,12.437891006469727,630,0.02249797433614731,0.021701762452721596,0.0003,560
50.0,28099,-5.988319649999999,28200,44,0.02700965106487274,12.688918113708496,635,0.018959416076540947,0.02157982625067234,0.0003,564
50.0,28299,-6.03550967,28400,44,0.4308382272720337,12.603792190551758,639,0.021332889795303345,0.021593444049358368,0.0003,568
50.0,28499,-6.12571031,28600,44,0.005351640284061432,12.89036750793457,644,0.022684458643198013,0.02156570740044117,0.0003,572
